ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
1;0;30;0;30;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;274;1;18;4903;4903;0;0;0;4903;0;0;0;0;0;0;0;274;0
3;0;36;36;19;3;4;0;3;0;1;0;4;2;1;2;0;0;0;0;6;366;382;1;27;24085;24085;10345;13602;3257;10483;14500;10500;4000;897;897;498;645;382;0
1;1;140;140;5;2;2;1;1;0;1;1;2;0;1;4;1;0;1;1;6;0;104;1;10;2631;2631;0;1589;1589;1042;1600;0;1600;0;0;0;0;104;0
2;0;113;113;0;1;2;0;2;0;0;0;2;2;0;1;0;0;0;0;3;0;-1;1;0;11735;11735;11735;11735;0;0;16400;16400;0;0;0;0;0;0;0
1;0;91;91;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;1238;1238;0;1238;1238;0;6000;0;6000;0;0;0;0;0;0
1;0;138;138;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
2;0;139;139;10;2;2;2;1;0;1;2;2;0;1;5;0;0;0;0;7;0;663;1;23;21783;21783;0;6306;6306;15477;8000;0;8000;0;0;0;0;663;0
1;0;32;17;32;2;3;0;1;0;2;0;1;1;0;0;0;0;0;0;3;0;1286;2;180;293521;0;0;0;0;293521;1000;1000;0;0;0;0;0;1553;0
3;1;54;54;9;3;3;1;2;0;1;1;3;1;1;3;1;0;0;0;6;0;168;1;25;4206;4206;0;0;0;4206;1000;500;500;0;0;0;0;168;0
1;0;41;0;41;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1579;2;2664;420185;0;0;0;0;420185;0;0;0;0;0;0;0;1579;0
1;0;44;0;44;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1231;2;2766;340018;0;0;0;0;340018;0;0;0;0;0;0;0;1231;0
1;1;100;0;100;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;156;2;847;14699;0;0;0;0;14699;0;0;0;0;0;0;0;156;0
1;0;33;0;33;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;596;2;75;44505;0;0;0;0;44505;0;0;0;0;0;0;0;596;0
1;1;150;150;17;2;3;1;1;0;2;1;3;0;1;4;1;0;0;0;7;30;1111;2;51;101542;101542;0;3030;3030;98512;3000;0;3000;30;30;0;30;1277;0
