id;ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
6026;3;1;108,65;108,65;28,35;3;4;0;1;0;3;0;4;0;1;3;1;0;0;0;8;0;1506;2;7;25774;25774;;5092;5092;20682;10000;;10000;0;0;;0;2075;0
6027;1;1;137,45;137,45;8;2;2;1;1;0;1;1;2;0;1;1;1;0;0;1;3;0;0;2;;2164;2164;;0;0;2164;300;;300;0;0;;0;0;0
6028;1;;174,84;174,84;79,1;2;2;0;1;0;1;0;1;0;1;0;;;;;2;0;0;2;;120883,1273;0;;0;0;120883,1273;6000;;6000;0;0;;0;0;0
6029;3;2;38,06;38,06;6,97;2;4;3;2;1;2;2;4;2;0;6;2;1;1;2;10;0;534;2;16;25248;25248;727;727;;24521;3100;3100;;0;0;0;0;807;0
6030;2;1;6,68;;6,68;2;2;2;0;0;2;2;2;0;0;1;1;1;1;1;3;0;155;1;14;7280;7280;;;;7280;;;;0;0;;;281;0
6031;1;6;8,94;;8,94;1;1;1;0;0;1;1;1;0;0;1;7;1;1;2;2;0;516;1;28;14584;14584;;;;14584;;;;0;0;;;516;0
6032;1;2;24,84;24,84;;1;1;0;1;0;0;0;1;1;0;0;2;2;2;2;1;0;-1;1;;0;0;0;0;;;3500;3500;;0;0;0;0;0;0
6033;2;1;68,52;68,52;3,1;2;2;1;1;0;1;1;2;0;1;1;1;0;1;1;3;0;183;2;5;891;891;;;;891;5000;;5000;0;0;;;183;0
6034;3;2;43,19;21,03;43,19;3;4;2;2;1;2;1;2;1;1;0;2;0;1;1;4;0;4209;2;150;728814;3562;3562;3562;0;725252;5300;5000;300;0;0;0;0;4209;0
6035;2;2;16,84;16,84;5,97;2;2;2;1;0;1;2;2;0;1;1;2;1;2;2;3;0;125;2;3;423;423;;0;0;423;10000;;10000;0;0;;0;125;0
6036;2;1;110,52;110,52;13;4;6;1;4;0;2;1;6;3;1;3;1;1;1;1;9;0;458;2;7;16966;16966;3381;3381;;13585;12400;11400;1000;0;0;0;0;562;0
6037;2;1;26,68;26,68;;1;2;8;2;1;0;0;2;2;0;40;2;0;0;0;42;0;-1;1;;10461;10461;10461;10461;;;12300;12300;;0;0;0;0;0;0
